0: terrain-map-v8 (Start: 1, Count: 15744, End: 15745, Img: terrain-map-v8.png, W: 512, H: 31488)
1: vten (Start: 15745, Count: 3072, End: 18817, Img: victorian-tenement.png, W: 1024, H: 3072)
2: windoors (Start: 18817, Count: 1024, End: 19841, Img: windows-doors.png, W: 1024, H: 1024)
3: vhouse (Start: 19841, Count: 2048, End: 21889, Img: victorian-mansion.png, W: 1024, H: 2048)
4: roofs (Start: 21889, Count: 4096, End: 25985, Img: roofs.png, W: 2048, H: 2048)
5: vacc (Start: 25985, Count: 2560, End: 28545, Img: victorian-accessories.png, W: 1024, H: 2560)
6: bricks (Start: 28545, Count: 2048, End: 30593, Img: bricks.png, W: 1024, H: 2048)
7: vwindoors (Start: 30593, Count: 5120, End: 35713, Img: victorian-windows-doors.png, W: 1024, H: 5120)
8: container (Start: 35713, Count: 1024, End: 36737, Img: container.png, W: 512, H: 2048)
9: vmkt (Start: 36737, Count: 1280, End: 38017, Img: victorian-market.png, W: 512, H: 2560)
10: vgard (Start: 38017, Count: 1024, End: 39041, Img: victorian-garden.png, W: 512, H: 2048)
11: vstreets (Start: 39041, Count: 1536, End: 40577, Img: victorian-streets.png, W: 512, H: 3072)
12: food (Start: 40577, Count: 1024, End: 41601, Img: food.png, W: 1024, H: 1024)
13: trees (Start: 41601, Count: 1024, End: 42625, Img: trees-green.png, W: 1024, H: 1024)
